person_name,person_wikidata_id,person_description,award_name,award_wikidata_id,year,isiscb_id,viaf_id,cb_viaf_id,match_method
Alphonse Berget,Q27179126,French geophysicist and oceanographer; fiction writer as A. Viger,Binoux Prize,Q116982264,1904,,54188788,,
Nestor Larras,Q22211899,French officer and surveyor,Binoux Prize,Q116982264,1906,,76618601,,
Gino Loria,Q926791,Italian mathematician (1862-1954),Binoux Prize,Q116982264,1907,CBA055761891,113543468,http://viaf.org/viaf/113543468,viaf
Johan Ludvig Heiberg,Q936503,Danish philologist and hellenist (1854-1928),Binoux Prize,Q116982264,1912,CBA000140504,36965878,http://viaf.org/viaf/36965878,viaf
Jules Molk,Q6305975,French mathematician,Binoux Prize,Q116982264,1912,,14824772,,
Frédéric Marguet,Q3090009,French officer,Binoux Prize,Q116982264,1915,,89217962,,
Francisco Gomes Teixeira,Q3815565,Portuguese mathematician (1851–1933),Binoux Prize,Q116982264,1917,CBA000101137,10209602,http://viaf.org/viaf/57397011,name
Maurice Delacre,Q55232657,Belgian art collector,Binoux Prize,Q116982264,1919,,9472074,,
Albert Maire,Q16938026,French librarian (1856–1931),Binoux Prize,Q116982264,1925,,19742938,,
Emmanuel de Martonne,Q2707645,French geographer (1873–1955),Binoux Prize,Q116982264,1925,CBA000065702,66528104,http://viaf.org/viaf/66528104,viaf
Prosper Charbonnier,Q16592562,French physicist (1862-1936),Binoux Prize,Q116982264,1929,,235513383,,
Georges Poivilliers,Q55671676,French engineer,Binoux Prize,Q116982264,1930,,122112708,,
Pierre Brunet,Q29184945,French historian of science (1893-1950),Binoux Prize,Q116982264,1930,,100899114,,
Ernest Esclangon,Q574628,French astronomer and mathematician (1876–1954),Binoux Prize,Q116982264,1934,,36911953,,
Raoul Combes,Q922504,French botanist (1883-1964),Binoux Prize,Q116982264,1934,,34588919,,
George Sarton,Q1316061,Belgian-American historian of science (1884–1956),Binoux Prize,Q116982264,1935,CBA000089873,64049239,http://viaf.org/viaf/64049239,viaf
Édouard de Martonne,Q55672635,,Binoux Prize,Q116982264,1936,,164055930,,
Raoul Goudey,Q116982458,astronomer,Binoux Prize,Q116982264,1937,,211338739,,
