person_name,person_wikidata_id,person_description,role,organization,org_wikidata_id,start_year,end_year,viaf_id,isiscb_id,cb_viaf_id,match_method,match_source
Berry Campbell,Q100324399,American neurophysiologist,member/fellow,American Association for the History of Medicine,Q21467471,,,,,,,member
Judith Walzer Leavitt,Q6303734,American historian,member/fellow,American Association for the History of Medicine,Q21467471,,,233130242,CBA000058735,,name,member
Leonard Gilchrist Wilson,Q59464867,Canadian-American historian of science,member/fellow,American Association for the History of Medicine,Q21467471,,,19774639,CBA000110378,,name,member
Christopher Hollings,Q61196603,researcher ORCID ID = 0000-0003-3181-1968,chairperson/president,British Society for the History of Mathematics,Q4971049,2023,,306382001,CBA000151355,,name,chairperson
Raymond Flood,Q18921729,"Gresham Professor of Geometry, Gresham College, Oxford, U.K.",member/fellow,British Society for the History of Mathematics,Q4971049,,,39405468,CBA000032600,,name,member
Charles Singer,Q367890,British historian of science (1876-1960),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1947,1949,34479352,CBA000140108,"http://viaf.org/viaf/34479352, http://viaf.org/viaf/34479352",viaf,position
J. R. Partington,Q903959,British chemist and historian of science (1886–1965),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1949,1951,4518147270695535700008,CBA000077550,,name,position
F. Sherwood Taylor,Q5424045,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1951,1953,39491771,CBA000100961,,name,position
Hugh Hamshaw Thomas,Q950806,British botanist and historian of science (1885-1962),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1953,1955,307167029,CBA000101775,,name,position
Herbert Dingle,Q628065,British astronomer and historian of science (1890–1978),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1955,1957,64394681,CBA000025908,,name,position
Edgar Ashworth Underwood,Q27490425,"medical historian, 1899-1980",President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1957,1962,92761333,,,,position
Thomas Martin,Q70739518,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1962,1964,100981211,,,,position
Alistair Cameron Crombie,Q1375992,"Australian zoologist, historian of science (1915-1996)",President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1964,1966,97752006,CBA000022173,,name,position
Alfred Rupert Hall,Q2176530,British historian of science (1920–2009),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1966,1968,102334314,CBA000041882,http://viaf.org/viaf/102334314,viaf,position
Gerald James Whitrow,Q3710220,British mathematician and historian of science (1912-2000),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1968,1970,89601264,CBA000109432,,name,position
W. P. D. Wightman,Q55990337,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1970,1972,38220167,CBA000109695,,name,position
John Anthony Chaldecott,Q70736749,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1972,1974,,CBA000140554,,name,position
Maurice P. Crosland,Q22911477,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1974,1976,59132753,CBA000022242,,name,position
David Watkin Waters,Q96376050,British naval officer,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1976,1978,8111159613669741030001,CBA000107718,,name,position
William Hodson Brock,Q22582839,British chemist and historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1978,1980,94697296,,,,position
Robert Fox,Q22087424,British historian,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1980,1982,10907,CBA000033349,http://viaf.org/viaf/10907,viaf,position
Jack Morrell,Q6114197,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1982,1984,94604490,CBA000071441,,name,position
Gerard L'Estrange Turner,Q70733815,Historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1984,1986,98269960,CBA000103884,http://viaf.org/viaf/98269960,viaf,position
Colin A. Russell,Q5144836,British historian,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1986,1988,29579844,CBA000158215,http://viaf.org/viaf/29579844,viaf,position
Robert G. W. Anderson,Q7344640,British chemist and historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1988,1990,94486034,CBA000002314,,name,position
Hugh Torrens,Q23017932,English palaeontologist; historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1990,1992,139050556,CBA743863967,,name,position
Geoffrey Cantor,Q5534503,British historian,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1992,1993,97718613,CBA000146444,,name,position
David M. Knight,Q1175389,British historian (1936–2018),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1994,1995,97965389,CBA000054683,,name,position
John Hedley Brooke,Q6238513,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1996,1997,49289055,CBA000013161,,name,position
Ludmilla Jordanova,Q532951,British historian,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,1998,1999,64034541,CBA000152127,,name,position
Jim Bennett,Q6193623,British historian of science and museum curator,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2000,2001,208035093,CBA000007663,,name,position
Janet Browne,Q6153222,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2002,2003,109290373,CBA000013552,http://viaf.org/viaf/109290373,viaf,position
Peter J. Bowler,Q7174853,Irish historian of biology (1944-),President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2004,2005,79046367,CBA000011757,,name,position
Frank James,Q70730334,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2006,2007,,CBA589161687,,name,position
Jeff Hughes,Q29643019,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2008,2009,46443111,CBA000047996,,name,position
Sally Horrocks,Q70729432,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2010,2011,,CBA000047254,,name,position
Hasok Chang,Q24238917,Korean-American historian and philosopher of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2012,2013,7632760,CBA000017824,,name,position
Gregory Radick,Q70743994,British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2014,2016,2702036,CBA000082804,,name,position
Patricia Fara,Q7145573,British historian,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2016,2018,19791912,CBA000030642,http://viaf.org/viaf/19791912,viaf,position
Tim Boon,Q29642381,museum curator and researcher,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2018,2020,,CBA000010919,,name,position
Charlotte Sleigh,Q72453421,science humanities researcher,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2020,2022,233286057,CBA000095405,,name,position
James A. Secord,Q61944839,American British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2022,,61637081,CBA000092600,http://viaf.org/viaf/61637081,viaf,position
Francis Butler,Q112666818,British historian of science (1894-1970),member/fellow,British Society for the History of Science,Q4971052,,,,,,,member
Martha Fleming,Q43761930,Canadian artist (born 1958),member/fellow,British Society for the History of Science,Q4971052,,,9134782,CBA014429159,http://viaf.org/viaf/9134782,viaf,member
Pamela H. Smith,Q28027754,historian of science,member/fellow,British Society for the History of Science,Q4971052,,,191150061,CBA000095915,http://viaf.org/viaf/191150061,viaf,member
Patrick J. Boner,Q101438764,historian of science,member/fellow,British Society for the History of Science,Q4971052,,,236459928,CBA000010736,,name,member
"Ḥilmī, ʿAbd al-Ḥāfiẓ,",Q111720597,Egyptian writer,member/fellow,British Society for the History of Science,Q4971052,,,160994554,,,,member
Nicola C Sugden,Q93240240,researcher (ORCID 0000-0002-3431-4652),staff/affiliated,British Society for the History of Science,Q4971052,,,,CBA607160275,,name,employer
Paul Pirlot,Q52108706,Canadian zoologist,member/fellow,Canadian Society for the History and Philosophy of Science,Q69891097,,,288818268,CBA000080230,,name,member
Barbara Maria Stafford,Q807549,American art historian (born 1941),member/fellow,History of Science Society,Q1621074,,,278498685,CBA000097482,,name,member
David Eugene Smith,Q1174369,American mathematician (1860–1944),member/fellow,History of Science Society,Q1621074,,,34463266,CBA000095698,http://viaf.org/viaf/34463266,viaf,member
